Date.x,Time.x,Temp.x,mV,pH,Date_Time,Date.y,Time.y,Dissolved_Oxygen_Concentration,Temp.y,Date,Time,Low_Range_micro_siemens_per_centimeter,High_Range_micro_siemens_per_centimeter,Temp_Celcius
06-10-22,14:40:00,26.57,-25.17,7.42,2022-10-06T14:40:00Z,06-10-22,14:40:00,0.07,26.5,6/10/22,14:40:00,2592.8,2608.9,26.92
06-10-22,14:50:00,26.57,-25.44,7.43,2022-10-06T14:50:00Z,06-10-22,14:50:00,0.09,26.48,6/10/22,14:50:00,2588.1,2600.9,26.88
06-10-22,15:00:00,26.57,-25.34,7.43,2022-10-06T15:00:00Z,06-10-22,15:00:00,0.05,26.48,6/10/22,15:00:00,2592.8,2610.2,26.92
06-10-22,15:10:00,26.57,-25.99,7.44,2022-10-06T15:10:00Z,06-10-22,15:10:00,0.05,26.48,6/10/22,15:10:00,2592.8,2608.3,26.92
06-10-22,15:20:00,26.57,-25.99,7.44,2022-10-06T15:20:00Z,06-10-22,15:20:00,0.25,26.48,6/10/22,15:20:00,2595.2,2610.8,26.91
06-10-22,15:30:00,26.57,-25.88,7.44,2022-10-06T15:30:00Z,06-10-22,15:30:00,0.31,26.5,6/10/22,15:30:00,2595.2,2610.8,26.91
06-10-22,15:40:00,26.6,-26,7.44,2022-10-06T15:40:00Z,06-10-22,15:40:00,0.34,26.5,6/10/22,15:40:00,2592.2,2607.7,26.92
06-10-22,15:50:00,26.57,-27.64,7.46,2022-10-06T15:50:00Z,06-10-22,15:50:00,0.36,26.5,6/10/22,15:50:00,2589.2,2603.4,26.92
06-10-22,16:00:00,26.57,-28.09,7.47,2022-10-06T16:00:00Z,06-10-22,16:00:00,0.37,26.48,6/10/22,16:00:00,2586.3,2602.7,26.92
06-10-22,16:10:00,26.57,-29.47,7.5,2022-10-06T16:10:00Z,06-10-22,16:10:00,2.38,26.48,6/10/22,16:10:00,2604.7,2620.7,26.96
06-10-22,16:20:00,26.57,-29.75,7.5,2022-10-06T16:20:00Z,06-10-22,16:20:00,2.38,26.5,6/10/22,16:20:00,2599.3,2614.5,26.91
06-10-22,16:30:00,26.62,-29.06,7.49,2022-10-06T16:30:00Z,06-10-22,16:30:00,2.4,26.52,6/10/22,16:30:00,2596.4,2612,26.93
06-10-22,16:40:00,26.6,-29.47,7.5,2022-10-06T16:40:00Z,06-10-22,16:40:00,2.35,26.52,6/10/22,16:40:00,2588.6,2604.6,26.91
06-10-22,16:50:00,26.6,-29.7,7.5,2022-10-06T16:50:00Z,06-10-22,16:50:00,2.32,26.52,6/10/22,16:50:00,2588.1,2605.2,26.89
06-10-22,17:00:00,26.6,-29.27,7.49,2022-10-06T17:00:00Z,06-10-22,17:00:00,2.33,26.5,6/10/22,17:00:00,2596.4,2611.4,26.92
06-10-22,17:10:00,26.6,-28.84,7.48,2022-10-06T17:10:00Z,06-10-22,17:10:00,2.25,26.5,6/10/22,17:10:00,2595.8,2611.4,26.89
06-10-22,17:20:00,26.6,-29.03,7.49,2022-10-06T17:20:00Z,06-10-22,17:20:00,2.18,26.5,6/10/22,17:20:00,2598.1,2614.5,26.88
06-10-22,17:30:00,26.57,-28.39,7.48,2022-10-06T17:30:00Z,06-10-22,17:30:00,2.25,26.5,6/10/22,17:30:00,2595.8,2613.2,26.88
06-10-22,17:40:00,26.6,-28.58,7.48,2022-10-06T17:40:00Z,06-10-22,17:40:00,2.31,26.5,6/10/22,17:40:00,2595.8,2611.4,26.89
06-10-22,17:50:00,26.6,-29.14,7.49,2022-10-06T17:50:00Z,06-10-22,17:50:00,2.29,26.48,6/10/22,17:50:00,2595.2,2613.2,26.87
06-10-22,18:00:00,26.57,-29,7.49,2022-10-06T18:00:00Z,06-10-22,18:00:00,2.1,26.48,6/10/22,18:00:00,2595.2,2612,26.86
06-10-22,18:10:00,26.57,-27.89,7.47,2022-10-06T18:10:00Z,06-10-22,18:10:00,2.12,26.46,6/10/22,18:10:00,2594.6,2610.8,26.86
06-10-22,18:20:00,26.57,-28.77,7.48,2022-10-06T18:20:00Z,06-10-22,18:20:00,1.94,26.48,6/10/22,18:20:00,2592.2,2608.9,26.86
06-10-22,18:30:00,26.55,-28.42,7.48,2022-10-06T18:30:00Z,06-10-22,18:30:00,1.86,26.46,6/10/22,18:30:00,2589.8,2606.5,26.85
06-10-22,18:40:00,26.55,-27.8,7.47,2022-10-06T18:40:00Z,06-10-22,18:40:00,1.8,26.46,6/10/22,18:40:00,2589.8,2605.2,26.83
06-10-22,18:50:00,26.52,-27.42,7.46,2022-10-06T18:50:00Z,06-10-22,18:50:00,1.88,26.44,6/10/22,18:50:00,2589.2,2605.2,26.82
06-10-22,19:00:00,26.52,-27.41,7.46,2022-10-06T19:00:00Z,06-10-22,19:00:00,1.81,26.44,6/10/22,19:00:00,2589.2,2604.6,26.81
06-10-22,19:10:00,26.52,-27.2,7.46,2022-10-06T19:10:00Z,06-10-22,19:10:00,1.81,26.42,6/10/22,19:10:00,2588.6,2604,26.8
06-10-22,19:20:00,26.5,-26.99,7.45,2022-10-06T19:20:00Z,06-10-22,19:20:00,1.81,26.42,6/10/22,19:20:00,2588.6,2604.6,26.78
06-10-22,19:30:00,26.5,-27.11,7.46,2022-10-06T19:30:00Z,06-10-22,19:30:00,1.78,26.4,6/10/22,19:30:00,2588.6,2604.6,26.77
06-10-22,19:40:00,26.48,-26.75,7.45,2022-10-06T19:40:00Z,06-10-22,19:40:00,1.9,26.38,6/10/22,19:40:00,2588.6,2602.7,26.75
06-10-22,19:50:00,26.45,-26.86,7.45,2022-10-06T19:50:00Z,06-10-22,19:50:00,1.93,26.36,6/10/22,19:50:00,2586.3,2602.1,26.73
06-10-22,20:00:00,26.43,-26.5,7.45,2022-10-06T20:00:00Z,06-10-22,20:00:00,1.88,26.34,6/10/22,20:00:00,2585.7,2602.1,26.71
06-10-22,20:10:00,26.4,-26.3,7.44,2022-10-06T20:10:00Z,06-10-22,20:10:00,1.81,26.32,6/10/22,20:10:00,2583.9,2601.5,26.69
06-10-22,20:20:00,26.38,-26.24,7.44,2022-10-06T20:20:00Z,06-10-22,20:20:00,1.69,26.3,6/10/22,20:20:00,2583.3,2597.8,26.66
06-10-22,20:30:00,26.38,-26.38,7.44,2022-10-06T20:30:00Z,06-10-22,20:30:00,1.69,26.28,6/10/22,20:30:00,2580.9,2597.2,26.65
06-10-22,20:40:00,26.35,-26.27,7.44,2022-10-06T20:40:00Z,06-10-22,20:40:00,1.64,26.26,6/10/22,20:40:00,2583.3,2599,26.64
06-10-22,20:50:00,26.33,-26.69,7.45,2022-10-06T20:50:00Z,06-10-22,20:50:00,1.55,26.26,6/10/22,20:50:00,2582.7,2597.8,26.62
06-10-22,21:00:00,26.3,-26.81,7.45,2022-10-06T21:00:00Z,06-10-22,21:00:00,1.57,26.24,6/10/22,21:00:00,2582.7,2597.2,26.61
06-10-22,21:10:00,26.3,-27,7.45,2022-10-06T21:10:00Z,06-10-22,21:10:00,1.52,26.22,6/10/22,21:10:00,2580.3,2594.7,26.57
06-10-22,21:20:00,26.28,-27.36,7.46,2022-10-06T21:20:00Z,06-10-22,21:20:00,1.45,26.2,6/10/22,21:20:00,2577.4,2592.3,26.56
06-10-22,21:30:00,26.26,-26.94,7.45,2022-10-06T21:30:00Z,06-10-22,21:30:00,1.14,26.18,6/10/22,21:30:00,2575,2590.4,26.54
06-10-22,21:40:00,26.23,-26.77,7.45,2022-10-06T21:40:00Z,06-10-22,21:40:00,0.98,26.16,6/10/22,21:40:00,2574.4,2589.8,26.52
06-10-22,21:50:00,26.21,-26.91,7.45,2022-10-06T21:50:00Z,06-10-22,21:50:00,1.01,26.14,6/10/22,21:50:00,2575,2588.6,26.49
06-10-22,22:00:00,26.21,-26.78,7.45,2022-10-06T22:00:00Z,06-10-22,22:00:00,0.75,26.14,6/10/22,22:00:00,2574.4,2587.9,26.49
06-10-22,22:10:00,26.18,-26.97,7.45,2022-10-06T22:10:00Z,06-10-22,22:10:00,0.63,26.12,6/10/22,22:10:00,2572,2587.3,26.48
06-10-22,22:20:00,26.16,-26.77,7.45,2022-10-06T22:20:00Z,06-10-22,22:20:00,0.58,26.1,6/10/22,22:20:00,2572,2586.1,26.45
06-10-22,22:30:00,26.16,-26.63,7.45,2022-10-06T22:30:00Z,06-10-22,22:30:00,0.69,26.08,6/10/22,22:30:00,2572,2585.5,26.44
06-10-22,22:40:00,26.13,-26.7,7.45,2022-10-06T22:40:00Z,06-10-22,22:40:00,0.69,26.06,6/10/22,22:40:00,2569.1,2584.2,26.41
06-10-22,22:50:00,26.13,-26.94,7.45,2022-10-06T22:50:00Z,06-10-22,22:50:00,0.69,26.04,6/10/22,22:50:00,2569.1,2583.6,26.4
06-10-22,23:00:00,26.11,-27.06,7.46,2022-10-06T23:00:00Z,06-10-22,23:00:00,0.62,26.04,6/10/22,23:00:00,2569.1,2583,26.39
06-10-22,23:10:00,26.08,-26.7,7.45,2022-10-06T23:10:00Z,06-10-22,23:10:00,0.56,26.02,6/10/22,23:10:00,2566.7,2581.2,26.38
06-10-22,23:20:00,26.06,-26.74,7.45,2022-10-06T23:20:00Z,06-10-22,23:20:00,0.62,26,6/10/22,23:20:00,2563.8,2579.3,26.35
06-10-22,23:30:00,26.06,-27.08,7.46,2022-10-06T23:30:00Z,06-10-22,23:30:00,0.59,25.98,6/10/22,23:30:00,2563.8,2579.3,26.34
06-10-22,23:40:00,26.04,-26.67,7.45,2022-10-06T23:40:00Z,06-10-22,23:40:00,0.59,25.96,6/10/22,23:40:00,2563.8,2578.7,26.31
06-10-22,23:50:00,26.04,-26.97,7.45,2022-10-06T23:50:00Z,06-10-22,23:50:00,0.51,25.96,6/10/22,23:50:00,2563.8,2578.1,26.3
07-10-22,00:00:00,26.01,-26.8,7.45,2022-10-07T00:00:00Z,07-10-22,00:00:00,0.97,25.94,7/10/22,00:00:00,2561.4,2576.2,26.29
07-10-22,00:10:00,25.99,-26.84,7.45,2022-10-07T00:10:00Z,07-10-22,00:10:00,0.93,25.92,7/10/22,00:10:00,2561.4,2574.4,26.28
07-10-22,00:20:00,25.99,-26.72,7.45,2022-10-07T00:20:00Z,07-10-22,00:20:00,0.87,25.92,7/10/22,00:20:00,2561.4,2574.4,26.27
07-10-22,00:30:00,25.99,-26.64,7.45,2022-10-07T00:30:00Z,07-10-22,00:30:00,0.77,25.9,7/10/22,00:30:00,2558.4,2574.4,26.27
07-10-22,00:40:00,25.96,-26.36,7.44,2022-10-07T00:40:00Z,07-10-22,00:40:00,0.69,25.88,7/10/22,00:40:00,2558.4,2571.9,26.24
07-10-22,00:50:00,25.96,-26.34,7.44,2022-10-07T00:50:00Z,07-10-22,00:50:00,0.64,25.88,7/10/22,00:50:00,2558.4,2571.9,26.24
07-10-22,01:00:00,25.94,-26.58,7.45,2022-10-07T01:00:00Z,07-10-22,01:00:00,0.42,25.88,7/10/22,01:00:00,2556.1,2571.3,26.23
07-10-22,01:10:00,25.94,-26.75,7.45,2022-10-07T01:10:00Z,07-10-22,01:10:00,0.66,25.86,7/10/22,01:10:00,2556.1,2570.1,26.22
07-10-22,01:20:00,25.94,-26.36,7.44,2022-10-07T01:20:00Z,07-10-22,01:20:00,0.52,25.84,7/10/22,01:20:00,2556.1,2570.1,26.2
07-10-22,01:30:00,25.91,-26.34,7.44,2022-10-07T01:30:00Z,07-10-22,01:30:00,0.4,25.84,7/10/22,01:30:00,2555.5,2570.1,26.19
07-10-22,01:40:00,25.91,-26.33,7.44,2022-10-07T01:40:00Z,07-10-22,01:40:00,0.35,25.84,7/10/22,01:40:00,2556.1,2569.4,26.19
07-10-22,01:50:00,25.91,-26.02,7.44,2022-10-07T01:50:00Z,07-10-22,01:50:00,0.44,25.82,7/10/22,01:50:00,2555.5,2568.8,26.17
07-10-22,02:00:00,25.89,-25.91,7.44,2022-10-07T02:00:00Z,07-10-22,02:00:00,0.21,25.82,7/10/22,02:00:00,2553.7,2568.8,26.17
07-10-22,02:10:00,25.89,-25.99,7.44,2022-10-07T02:10:00Z,07-10-22,02:10:00,0.29,25.8,7/10/22,02:10:00,2555.5,2568.8,26.15
07-10-22,02:20:00,25.87,-25.78,7.43,2022-10-07T02:20:00Z,07-10-22,02:20:00,0.29,25.8,7/10/22,02:20:00,2555.5,2567.6,26.14
07-10-22,02:30:00,25.87,-25.75,7.43,2022-10-07T02:30:00Z,07-10-22,02:30:00,0.23,25.78,7/10/22,02:30:00,2553.1,2567.6,26.14
07-10-22,02:40:00,25.84,-25.5,7.43,2022-10-07T02:40:00Z,07-10-22,02:40:00,0.16,25.78,7/10/22,02:40:00,2555.5,2567,26.13
07-10-22,02:50:00,25.84,-25.56,7.43,2022-10-07T02:50:00Z,07-10-22,02:50:00,0.12,25.76,7/10/22,02:50:00,2552.5,2567,26.12
07-10-22,03:00:00,25.84,-25.33,7.43,2022-10-07T03:00:00Z,07-10-22,03:00:00,0.13,25.76,7/10/22,03:00:00,2553.1,2566.4,26.1
07-10-22,03:10:00,25.82,-25.44,7.43,2022-10-07T03:10:00Z,07-10-22,03:10:00,0.14,25.74,7/10/22,03:10:00,2550.7,2565.1,26.09
07-10-22,03:20:00,25.79,-25.42,7.43,2022-10-07T03:20:00Z,07-10-22,03:20:00,0.04,25.72,7/10/22,03:20:00,2550.7,2564.5,26.08
07-10-22,03:30:00,25.79,-25.59,7.43,2022-10-07T03:30:00Z,07-10-22,03:30:00,0.02,25.72,7/10/22,03:30:00,2553.1,2565.1,26.07
07-10-22,03:40:00,25.79,-25.14,7.42,2022-10-07T03:40:00Z,07-10-22,03:40:00,0.07,25.7,7/10/22,03:40:00,2552.5,2564.5,26.06
07-10-22,03:50:00,25.77,-25.14,7.42,2022-10-07T03:50:00Z,07-10-22,03:50:00,0.05,25.7,7/10/22,03:50:00,2547.8,2562.1,26.04
07-10-22,04:00:00,25.77,-24.94,7.42,2022-10-07T04:00:00Z,07-10-22,04:00:00,0,25.68,7/10/22,04:00:00,2547.2,2562.1,26.04
07-10-22,04:10:00,25.74,-24.66,7.42,2022-10-07T04:10:00Z,07-10-22,04:10:00,0.02,25.68,7/10/22,04:10:00,2547.8,2560.8,26.02
07-10-22,04:20:00,25.74,-24.5,7.41,2022-10-07T04:20:00Z,07-10-22,04:20:00,0.02,25.68,7/10/22,04:20:00,2533,2546,26.02
07-10-22,04:30:00,25.74,-24.59,7.41,2022-10-07T04:30:00Z,07-10-22,04:30:00,-0.02,25.66,7/10/22,04:30:00,2547.2,2560.2,26.01
07-10-22,04:40:00,25.72,-24.45,7.41,2022-10-07T04:40:00Z,07-10-22,04:40:00,0,25.64,7/10/22,04:40:00,2547.2,2559.6,25.99
07-10-22,04:50:00,25.72,-24.33,7.41,2022-10-07T04:50:00Z,07-10-22,04:50:00,0,25.64,7/10/22,04:50:00,2544.8,2559.6,25.98
07-10-22,05:00:00,25.7,-24.24,7.41,2022-10-07T05:00:00Z,07-10-22,05:00:00,-0.02,25.62,7/10/22,05:00:00,2544.8,2558.4,25.98
07-10-22,05:10:00,25.7,-24.14,7.41,2022-10-07T05:10:00Z,07-10-22,05:10:00,-0.03,25.62,7/10/22,05:10:00,2544.8,2558.4,25.97
07-10-22,05:20:00,25.7,-24.08,7.41,2022-10-07T05:20:00Z,07-10-22,05:20:00,0.01,25.6,7/10/22,05:20:00,2542.5,2555.9,25.96
07-10-22,05:30:00,25.67,-24,7.4,2022-10-07T05:30:00Z,07-10-22,05:30:00,-0.01,25.6,7/10/22,05:30:00,2544.2,2557.7,25.94
07-10-22,05:40:00,25.67,-23.89,7.4,2022-10-07T05:40:00Z,07-10-22,05:40:00,0,25.58,7/10/22,05:40:00,2541.9,2555.9,25.93
07-10-22,05:50:00,25.67,-24.02,7.4,2022-10-07T05:50:00Z,07-10-22,05:50:00,0.04,25.58,7/10/22,05:50:00,2541.9,2555.9,25.93
07-10-22,06:00:00,25.65,-23.91,7.4,2022-10-07T06:00:00Z,07-10-22,06:00:00,0.05,25.58,7/10/22,06:00:00,2541.9,2555.3,25.92
07-10-22,06:10:00,25.65,-23.83,7.4,2022-10-07T06:10:00Z,07-10-22,06:10:00,0.01,25.56,7/10/22,06:10:00,2541.9,2554.7,25.89
07-10-22,06:20:00,25.62,-23.8,7.4,2022-10-07T06:20:00Z,07-10-22,06:20:00,0.01,25.54,7/10/22,06:20:00,2539.5,2553.4,25.89
07-10-22,06:30:00,25.62,-23.7,7.4,2022-10-07T06:30:00Z,07-10-22,06:30:00,0.14,25.54,7/10/22,06:30:00,2539.5,2552.8,25.88
07-10-22,06:40:00,25.62,-24.16,7.41,2022-10-07T06:40:00Z,07-10-22,06:40:00,0.64,25.52,7/10/22,06:40:00,2539.5,2552.2,25.88
07-10-22,06:50:00,25.62,-23.89,7.4,2022-10-07T06:50:00Z,07-10-22,06:50:00,0.15,25.52,7/10/22,06:50:00,2539.5,2551,25.88
07-10-22,07:00:00,25.6,-23.69,7.4,2022-10-07T07:00:00Z,07-10-22,07:00:00,0.14,25.52,7/10/22,07:00:00,2522.4,2537.4,25.87
07-10-22,07:10:00,25.6,-23.56,7.4,2022-10-07T07:10:00Z,07-10-22,07:10:00,0.13,25.52,7/10/22,07:10:00,2537.1,2551,25.87
07-10-22,07:20:00,25.6,-23.53,7.4,2022-10-07T07:20:00Z,07-10-22,07:20:00,0.11,25.52,7/10/22,07:20:00,2537.1,2551,25.87
07-10-22,07:30:00,25.6,-23.63,7.4,2022-10-07T07:30:00Z,07-10-22,07:30:00,0.18,25.52,7/10/22,07:30:00,2537.1,2550.4,25.87
07-10-22,07:40:00,25.6,-23.69,7.4,2022-10-07T07:40:00Z,07-10-22,07:40:00,0.11,25.5,7/10/22,07:40:00,2537.1,2550.4,25.87
07-10-22,07:50:00,25.6,-23.67,7.4,2022-10-07T07:50:00Z,07-10-22,07:50:00,0.05,25.5,7/10/22,07:50:00,2536.5,2551,25.88
07-10-22,08:00:00,25.6,-23.66,7.4,2022-10-07T08:00:00Z,07-10-22,08:00:00,0.04,25.52,7/10/22,08:00:00,2538.9,2552.8,25.89
07-10-22,08:10:00,25.62,-23.7,7.4,2022-10-07T08:10:00Z,07-10-22,08:10:00,0.01,25.54,7/10/22,08:10:00,2539.5,2552.8,25.92
07-10-22,08:20:00,25.65,-23.67,7.4,2022-10-07T08:20:00Z,07-10-22,08:20:00,0.08,25.56,7/10/22,08:20:00,2538.9,2553.4,25.94
07-10-22,08:30:00,25.67,-23.45,7.4,2022-10-07T08:30:00Z,07-10-22,08:30:00,0.1,25.58,7/10/22,08:30:00,2541.3,2553.4,25.96
07-10-22,08:40:00,25.67,-23.31,7.39,2022-10-07T08:40:00Z,07-10-22,08:40:00,0.11,25.6,7/10/22,08:40:00,2541.3,2554.7,25.98
07-10-22,08:50:00,25.7,-23.17,7.39,2022-10-07T08:50:00Z,07-10-22,08:50:00,0.25,25.62,7/10/22,08:50:00,2543.6,2557.1,26.02
07-10-22,09:00:00,25.74,-23.42,7.39,2022-10-07T09:00:00Z,07-10-22,09:00:00,0.19,25.66,7/10/22,09:00:00,2546.6,2560.8,26.08
07-10-22,09:10:00,25.79,-23.58,7.4,2022-10-07T09:10:00Z,07-10-22,09:10:00,0.24,25.72,7/10/22,09:10:00,2548.4,2561.4,26.1
07-10-22,09:20:00,25.82,-23.56,7.4,2022-10-07T09:20:00Z,07-10-22,09:20:00,0.16,25.72,7/10/22,09:20:00,2548.4,2563.3,26.12
07-10-22,09:30:00,25.84,-23.49,7.4,2022-10-07T09:30:00Z,07-10-22,09:30:00,0.09,25.76,7/10/22,09:30:00,2550.7,2564.5,26.15
07-10-22,09:40:00,25.84,-23.38,7.39,2022-10-07T09:40:00Z,07-10-22,09:40:00,-0.01,25.78,7/10/22,09:40:00,2550.7,2564.5,26.14
07-10-22,09:50:00,25.87,-23.28,7.39,2022-10-07T09:50:00Z,07-10-22,09:50:00,-0.03,25.78,7/10/22,09:50:00,2550.7,2564.5,26.14
07-10-22,10:00:00,25.87,-23.34,7.39,2022-10-07T10:00:00Z,07-10-22,10:00:00,0.03,25.8,7/10/22,10:00:00,2550.7,2566.4,26.17
07-10-22,10:10:00,25.91,-23.39,7.39,2022-10-07T10:10:00Z,07-10-22,10:10:00,0.21,25.9,7/10/22,10:10:00,2558.4,2571.9,26.27
07-10-22,10:20:00,25.94,-23.44,7.39,2022-10-07T10:20:00Z,07-10-22,10:20:00,0.48,25.94,7/10/22,10:20:00,2560.8,2574.4,26.33
07-10-22,10:30:00,26.01,-23.49,7.4,2022-10-07T10:30:00Z,07-10-22,10:30:00,0.58,26,7/10/22,10:30:00,2563.2,2578.7,26.4
07-10-22,10:40:00,26.06,-23.53,7.4,2022-10-07T10:40:00Z,07-10-22,10:40:00,0.37,26.06,7/10/22,10:40:00,2567.9,2581.8,26.48
07-10-22,10:50:00,26.13,-23.63,7.4,2022-10-07T10:50:00Z,07-10-22,10:50:00,0.88,26.1,7/10/22,10:50:00,2570.3,2584.2,26.5
07-10-22,11:00:00,26.21,-23.66,7.4,2022-10-07T11:00:00Z,07-10-22,11:00:00,0.83,26.16,7/10/22,11:00:00,2572.6,2587.9,26.56
07-10-22,11:10:00,26.23,-23.61,7.4,2022-10-07T11:10:00Z,07-10-22,11:10:00,0.79,26.22,7/10/22,11:10:00,2575,2589.8,26.59
07-10-22,11:20:00,26.3,-23.72,7.4,2022-10-07T11:20:00Z,07-10-22,11:20:00,0.66,26.26,7/10/22,11:20:00,2577.4,2592.9,26.64
07-10-22,11:30:00,26.33,-23.59,7.4,2022-10-07T11:30:00Z,07-10-22,11:30:00,0.93,26.3,7/10/22,11:30:00,2580.3,2595.3,26.69
07-10-22,11:40:00,26.33,-23.67,7.4,2022-10-07T11:40:00Z,07-10-22,11:40:00,0.96,26.32,7/10/22,11:40:00,2582.7,2596.6,26.64
07-10-22,11:50:00,26.4,-23.67,7.4,2022-10-07T11:50:00Z,07-10-22,11:50:00,0.8,26.32,7/10/22,11:50:00,2589.8,2604,26.7
07-10-22,12:00:00,26.4,-23.34,7.39,2022-10-07T12:00:00Z,07-10-22,12:00:00,0.7,26.32,7/10/22,12:00:00,2586.9,2602.1,26.69
07-10-22,12:10:00,26.4,-23.19,7.39,2022-10-07T12:10:00Z,07-10-22,12:10:00,0.55,26.32,7/10/22,12:10:00,2589.8,2605.8,26.72
07-10-22,12:20:00,26.43,-24.08,7.41,2022-10-07T12:20:00Z,07-10-22,12:20:00,0.86,26.34,7/10/22,12:20:00,2595.2,2610.2,26.76
07-10-22,12:30:00,26.52,-24.41,7.41,2022-10-07T12:30:00Z,07-10-22,12:30:00,0.75,26.38,7/10/22,12:30:00,2597.6,2610.8,26.83
